"ID","Category","Title","Ingredients","Method","Date"
"3270","nota bene","Spaghetti alla carbonara","consigli","1) la pancetta deve essere ben rosolata                                                                                                        2) unire alle uova sbattute con il pecorino ed il pepe schiacciato, un goccio di panna che eviter&#224; all'uovo di raggrumarsi (senza fare cuocere)","19/2/2007"
"3271","nota bene","Torte","consigli","1) In tutti gli impasti dolci x torte ci vuole sempre un pizzico di sale                                                          2) Per la loro cottura usare il forno statico e non ventilato","19/2/2007"
"3272","nota bene","Verdure","consigli per la cottura","1) per fermare la  cottura (o per cuocere) : si lessano le verdure ( anche per i sott'oli) in acqua BOLLENTE (o acqua e aceto) abbondantemente SALATA                                                                                                                          2) poi si passano immediatamente in ACQUA E GHIACCIO                                                                          3) per fissare il colore si aggiunge in 1 litro di acqua di cottura 50 gr. di sale e 100 gr. di zucchero.","11/4/2007"
"3273","nota bene","Vini temperature","champagne/spumanti","da 6 a 8 gradi  in inverno  - 4 gradi in estate","8/11/2006"
"3274","nota bene","Vini temperature","bianchi","da 12 a 14 gradi  (se secchi 12&#176; se fruttati 14&#176;)","8/11/2006"
"3275","nota bene","Vini temperature","rosati","12 gradi","19/2/2007"
"3276","nota bene","Vini temperature","rossi","da 16 a 18 gradi in inverno - 14 gradi in estate","8/11/2006"
"3277","nota bene","Vini temperature","dolci/passiti","da 10 a 12 gradi","8/11/2006"
"3278","nota bene","Vini temperature","livemente frizzanti","servire in bicchieri a calice ad una temperatura di 11 gradi (indicati x secondi di pesce e verdure)","19/2/2007"
"3279","minestre zuppe","Acqua cotta","cipolla-aglio-4 salamelle x4 p.-4 pomodori-4 patate-verza-cicoria selvatica-500 fagiolini-acqua-lardo-4 uova i-maggiorana-olio","In un grande tegame di coccio rosolare nell' olio la cipolla, l'aglio e le salamelle, poi unire i pomodori a dadini e le patate a pezzi pi&#249; grossi. Insaporire poi aggiungere le verdure (tanta cicoria, fagiolini e verza) (al posto dei fagiolini si possono mettere i funghi o gli aspargi o i carciofi). Unire una tazza di acqua x persona e cuocere x almeno 1 h. Alla fine unire un battuto di lardo e maggiorana. Prima di servire rompere un uovo a testa, coprire finch&#232; cotti. Riposare un attimo e servire in ciotole con un filo di olio.","12/7/2014"
"3280","pasta","Amatriciana","500 pasta bucatini o spaghetti-250 guanciale-2 peperoncini-500 pomodorini-3 c. vino b.(o aceto)-pecorino","Tagliare il guanciale a listelli e rosolarli molto bene in padella con poco olio. Quando &#232; croccante toglierne un po' per guarnire alla fine. Sfumare con il vino bianco (una volta usavano l'aceto io uso un goccio di Martini) poi aggiungere il peperoncino e i pomodori a dadini (o una scatola d pelati). Quando il sugo &#232; pronto, unire la pasta e fare insaporire. Servire con sopra il guanciale croccante, tenuto da parte e una bella spolverata di pecorino.","29/4/2016"
"3281","riso","Arancine o  Arancini siciliani","riso-rag&#249; carne-piselli-grana-burro-uovo-chiodi garofano-noce moscata-panatura","Cuocere il riso in pari quantit&#224; di acqua ed un pizzico di sale. Quando l'acqua si &#232; assorbita unire l'uovo, il grana ed una noce di burro. Fare delle palle e farcirle con il rag&#249; classico di carne al quale avremo aggiunto alla fine i piselli, la noce moscata ed i chiodi di garofano pestati. Poi impanare in farina, uovo sbattuto e pan grattato. Friggere in abbondante olio.","19/6/2016"
"3282","pasta","Bavette al pesce spada","porro-pesce spada-aglio-farina-vino b.-zafferano-pomodorini ciliegia-prezzemolo-olio-sale-pepe","Rosolare in padella con un filo di olio, uno spicchio d'aglio intero (poi si toglie) ed il porro tagliato a rondelle, quindi unire il pesce spada tagliato a tocchetti precedentemente infarinati. Sfumare con un goccio di vino bianco nel quale abbiamo sciolto una bustina di zafferano. Scolare le bavette, cotte molto al dente, quindi aggiungere qualche dadino di pomodoro fresco e spadellare per pochi minuti. Servire con prezzemolo tritato fresco.","7/5/2015"
"3283","pasta","Bavette al sugo freddo","bavette-pomodori-aglio-basilico-ginepro-mandorle-ricotta salata-olio","Lessare le bavette. Intanto spellare i pomodori e tagliarli a dadini poi unire tanto basilico, poco aglio, le bacche di ginepro e le mandorle tostate, la ricotta salata a dadini e olio. Marinare x almeno 10 minuti prima di condire le bavette.","19/2/2007"
"3284","pasta","Bavette con scampi alla ligure","bavette-scampi-fiori zucchina scalogno-olio-patata-pesto","Tagliare gli scampi x lungo a met&#224; e rosolare per 5 minuti In padella con l'olio e lo scalogno trito. All'ultimo unire i fiori tagliati per lungo a met&#224;. Unire le bavette fatte cuocere insieme a dadini di patata; spadellare e accompagnare con un cucchiaio di pesto.","19/2/2007"
"3285","pasta","Bigoli con le sarde","bigoli-4 sarde x persona-aglio-prezzemolo-scalogno-pan pesto-pomodori-pinoli-finocchio selvatico","Rosolare in padella l' olio, lo scalogno trito e l'aglio (volendo mettere l'aglio intero e poi toglierlo). Intanto a parte, rosolare il pan pesto con il prezzemolo trito e qualche pinolo. A parte friggere le sarde, precedentemente pulite, diliscate e infarinate e passate su carta assorbente. Scolare la pasta, unire tutto nella padella pi&#249; grande con una parte delle sarde, spadellare un attimo. Presentare il piatto con il resto delle sarde appoggiate sopra e con attorno una dadolata di pomodoro fresco, ed un ciuffo di finocchietto selvatico.","19/2/2007"
"3286","gnocchi polenta","Bocconcini del Salento al sugo","ricotta pecora-uovo-grana-prezzemolo-pan pesto-sugo pomodoro","Impastare in una ciotola (1) la ricotta con l'uovo, il grana ( o pecorino), 2 c. di pan pesto ed un trito di prezzemolo, sale e pepe. Fare delle polpettine e posarle, distanziate, in una pirofila con sotto e sopra il sugo di pomodoro, cospargere di grana e passare in forno a 180&#176; x 20- 25 minuti. Si possono anche fare sostituendo la ricotta ed il pan pesto (2) con le patate lessate e passate e poca farina.","9/3/2007"
"3287","minestre zuppe","Brodo di carne di una volta","muscolo bovino adulto-1/ gallina-1 ginocchio-cipolla-carota-1 c. sedano","3","8/11/2006"
"3288","pasta","Bucatini alla pugliese","bucatini-ricotta-cipolla-aglio-carota-pomodorini-basilico-finocchietto selvatico-olio","In un tegame rosolare con l'olio la cipolla unire la carota a pezzetti, il basilico e i pomodorini tagliati a met&#224;; cuocere x 15 minuti poi frullare il tutto. Intanto cuocere i bucatini. In una ciotola sbattere la ricotta con il finocchietto selvatico tritato ed un poco di acqua di cottura della pasta poi scolare i bucatini ed amalgamare. Servire in piatti piani con la salsa a specchio sotto e i bucatini, arrotolati a matassina, sopra. Decorare con fili di finocchio e un filo d'olio.","3/4/2014"
"3289","pasta","Bucatini con le melanzane","bucatini-melanzane-basilico-aglio-pomodorini-olio-olive nere-capperi-pan pesto-mozzarella di bufala","Tagliare a dadini la melanzana e friggerla in abbondante olio, poi scolare su carta assorbente. Intanto in una padella rosolare l'aglio con un filo di olio poi unire i pomodorini tagliati a met&#224;, unire le olive nere a rondelle, i capperi ed il basilico tritati. Cuocere i bucatini al dente, scolare, versare nella padella unendo anche la melanzana. Spadellare il tutto poi versare in una pirofila imburrata e spolverata con il pan pesto, ricoprire con fettine di mozzarella di bufala (o vaccina). Gratinare in forno caldo a 200&#176; per ca. 15 minuti. N.B. Se non piace la gratinatura in forno questa pasta &#232; buona anche senza.","19/8/2013"
"3290","pasta","Bucatini di Pantelleria alla conza","bucatini-gamberoni (3 x persona)-cipolla bianca-prezzemolo-vino bianco-mandorle-pan pesto","In una padella rosolare nell'olio la cipolla tritata poi unire i gamberoni sgusciati e puliti e tagliati in due o tre pezzi, poi sfumare con il vino bianco ed unire il prezzemolo tritato. A parte in una padella antiaderente senza condimento, tostare il pan pesto mescolato alle mandorle tritate grossolanamente ed il prezzemolo (la conza). Cuocere la pasta al dente, scolare e ripassarla nella  padella dei gamberoni. Servire nei piatti cospargendo di conza i bucatini come fosse del grana.","18/4/2013"
"3291","piatti etnici","Burghul alla turca","200 burghul (taboul&#233;)-500 acqua-3 pomodori-1 cetriolo-1 peperone giallo-1 cipolla bianca-sale-pepe-olio-prezzemolo-menta-limone","In un tegame mettere a freddo il burghul con 1 c. di olio e l'acqua. Cuocere coperto finch&#232; si assorbe l'acqua, rigirando. In una terrina mettere il cetriolo, i pomodori, il peperone e 1/2 limone tutti tagliati a dadini piccolissimi e condire con un'emulsione di olio, sale, pepe e succo di limone. Poi fare un trito con la cipolla, il prezzemolo e la menta e metterlo nel burghul cotto e sgranato. Unire tutto alle verdure, amalgamare e lasciare riposare per 2 o 3 h.  nel frigorifero. Prima di servire, mettere in formine tonde, schiacciare un po' e capovolgere sul piatto.","3/4/2007"
"3292","pasta","Cacio e Pepe","bucatini - 5 pepi - pecorino romano stagionato","In una larga padella mettere la pasta appena scottata con un poco della sua acqua. Cuocere come un risotto aggiungendo la sua acqua poco per volta, sempre mescolando. Verso la fine unire met&#224; del pepe pestato al mortaio.  Spegnere il fuoco, unire un' abbondate manciata di pecorino grattugiato ed un pochino di parmigiano (eviter&#224; di fare il filo) ed il resto del pepe, emulsionare e mantecare cos&#236; fuori dal fuoco. Servire caldissimo, deve essere CREMOSO!","27/10/2011"
"3293","pasta","Cacio e Pepe alla romana","vermicelli-pecorino-parmigiano acqua cottura-fiori zucchina o carciofi-olio-farina-pepe","Mentre la pasta cuoce, in una terrina fare una cremina con il pecorino (ne troppo stagionato ne troppo fresco)  ed il parmigiano grattugiato in egual misura, ed abbondante pepe macinato al momento stemperando con l'acqua di cottura della pasta. Intanto tagliare a julienne i fiori di zucchina o di carciofo (a seconda della stagione), infarinare e friggere. Scolare la pasta nella terrina amalgamare bene, servire a nido e sopra decorare con i fiori fritti.","10/5/2008"
"3294","gnocchi polenta","Cajettes di pane   o     gnocchi Piemontesi","250 pane raffermo di segale-120 farina-350 latte-50 burro-1 uovo-1 albume-1 cipolla-sale-pepe-             x condire: burro fuso","Tagliare il pane e metterlo a bagno nel  latte. In un tegame fondere met&#224; del burro e rosolare la cipolla tritata finemente quindi unire il pane ben strizzato e cuocere x alcuni minuti. Intiepidire ed aggiungere la farina, l'uovo, l'albume. Salare e mescolare con cura. Preparare le cajettes con le mani bagnate (dando una forma di spoletta), passare nella farina e buttare in acqua bollente salata. Quando vengono a galla scolare e condire con il burro fuso (a bagnomaria). N.B. Tipiche della val di Susa sono le cajettes fatte con le patate e le erbe aromatiche in sostituzione del pane ammollato.","17/7/2007"
"3295","pasta","Cannellone croccante con scampi e caponatina di verdura","pasta fillo-ricotta-gamberoni (2 x persona)-scamponi (1 x p.)-1 melanzana-1 zucchina-sale-pepe-pomodori-prezzemolo","Fare una caponatina rosolando in padella antiaderente con l'olio la melanzana a dadini piccoli, poi la zucchina, saltare e salare, alla fine unire il pomodoro a dadini. Per il ripieno mantecare la ricotta con una grattatina di pepe bianco. Stendere la pasta fillo, ungere con un filo di olio poi ripiegare in due e tagliare dei rettangoli (2 x persona), farcire con la ricotta ed un gamberone pulito, salare arrotolare; posare su teglia con carta forno con un filo di olio sopra; cuocere in forno a 200&#176; x 7 -10 minuti. Intanto in una padella rosolare con un filo di olio gli scamponi, tagliati a met&#224; con la testa e puliti, per pochissimo. Quindi comporre il piatto: caponatina sotto, poi 2 cannelloni per commensale, e sopra uno scampone, decorare con un ciuffetto di prezzemolo, un filo di olio ed una grattatina di pepe rosso.","17/5/2008"
"3296","pasta","Cannelloni alle patate e gorgonzola","pasta fresca-patate-burro-gorgonzola piccante-grana-pepe nero-prosciutto cotto-salvia-noci","Lessare le patate, passare al passa patate e condirle con una noce di burro, sale, pepe, amalgamando bene. Tagliare la pasta a quadrotti poi scottare in acqua bollente salata, raffreddare e stendere su un canovaccio. Farcire con un po' di impasto  di patate ed una fetta di gorgonzola piccante; arrotolare a cannolo. Rosolare in padella, con un filo di olio, i cannelloni (solo se si vogliono croccanti) altrimenti posare direttamente su una teglia imburrata, cospargere di grana e passare in forno per 10 minuti (deve soltanto sciogliersi il gorgonzola) Intanto in una padella sciogliere il burro (senza friggere) con un trito di salvia. Servire i cannelloni con sopra il burro fuso, una julienne di prosciutto cotto, una spolverata di noci tritate e una grattata di pepe nero sul bordo del piatto.","20/10/2012"
"3297","pasta","Cannelloni di carne","200 trita vitello/vitellone-cipolla b.-basilico-olio-vino b.-200 ricotta-50 provola-50 mozzarella bufala-50 caciotta-x Besciamelle (250 latte-30 burro-30 farina-sale-noce mosc.)-x sugo: pomodoro e basilico-Pasta all'uovo x cannelloni","Fare un classico sugo di pomodoro e basilico. Rosolare in padella una mezza cipolla bianca con olio e poi la carne tritata, aggiungere il basilico e cuocere con un goccio di vino bianco. Intanto fare una besciamelle e lasciare raffreddare. Poi unire alla besciamelle la carne trita fredda, la ricotta, la mozzarella a dadini e gli altri formaggi grattati e amalgamare il tutto. Tagliare la pasta in quadrati di cm. 10 x 10, sbollentare e freddare in acqua fredda. Asciugare  e riempire con questa farcia. Arrotolare e posare in una pirofila, con sotto un po' di sugo di pomodoro. Ricoprire con il rimanente sugo di pomodoro e basilico. Passare in forno a gratinare a 200&#176; per ca. 30 minuti.","27/3/2013"
"3298","pasta","Cannelloni vegetariani al verde","pasta per lasagne-zucchine-carote-asparagi-porri-trevigiana-carciofi-crescenza-grana-besciamelle-piselli","Rosolare in padella con l'olio, il porro, la trevigiana tagliata e le zucchine a rondelle poi unire i carciofi, asparagi e carote, scottati a parte, amalgamare il tutto. Scottare dei rettangoli di pasta, cospargere di grana e poi farcire con queste verdure ed una noce di crescenza o mozzarella; arrotolare e posare su una teglia, coprire con un po', ma non molta, besciamelle verde, fatta unendo alla fine i piselli (gi&#224; cotti al burro e frullati). Gratinare al forno a 180&#176; x 20 o 25 minuti.","27/2/2012"
"3299","minestre zuppe","Carabaccia o zuppa di cipolle - Cucina regionale Toscana","x 4 pp:1 kg. cipolle-olio-peperoncino-roux-brodo verdura-mandorle","Appassire con l'olio ed il peperoncino, le cipolle affettate, poi unire un roux classico (burro-farina-sale-pepe) ed allungare con il brodo di verdura. Cuocere in un tegame di coccio per 1 oretta. Volendo unire una manciatina di mandorle tritate grossolanamente.","8/3/2007"
"3300","pasta","Cavatelli alle verdure alla pugliese","cavatelli-aromi-rughetta-borragine-aglio-fiori di zucchine-zucchine-pomodorini-cacio ricotta","Fare un trito di aromi con aglio, rughetta selvatica, borragine, fiori di zucchina, 1 zucchina grattata. Intanto in una padella rosolare con un po' di olio l'aglio e i pomodorini ciliegini tagliati a met&#224;, per pochissimo, poi unire i cavatelli scolati. Saltare con le verdure mantenendole croccanti. Servire subito con una bella grattata di cacio ricotta.","19/2/2007"
"3301","pasta","Cestini di lasagne","pasta fresca-rag&#249; di carne-stracchino o squacquerone-grana-fonduta -fontina-latte","Tagliare le lasagne di pasta a quadrotti, scottare in acqua bollente, raffreddare poi foderare degli stampini imburrati e fare un paio di strati intercalando con qualche cucchiaio di rag&#249; di carne, classico, sfoglia e dadini di stracchino o squacquerone e 1 cucchiaio di grana. Richiudere lo stampino avvicinando i lembi della pasta e gratinare in forno per 10 o 12 minuti. Togliere i cestini dagli stampini e posizionare diritto al centro del piatto con sotto una fonduta semplice di fontina (dadini di formaggio sciolti nel latte o panna in egual peso). N.B. Volendo al posto dello stracchino si pu&#242; usare un po' di besciamelle.","20/9/2015"
"3302","pizza focacce crepes","Cestini di parmigiano","parmigiano-farina mais","Stendere su carta forno dei dischi di parmigiano grattato, in modo uniforme, con una spolveratina di farina di mais, passare in forno x pochissimo, quando sciolti,  togliere dal forno posare capovolti, su tazze o ciotoline, ancora caldi, e lasciare raffreddare. Si possono preparare anche il giorno prima.","15/10/2007"
"3303","gnocchi polenta","Cicche del nonno con le fragole (gnocchi)","patate-1/2 farina grano duro-1/2 -farina-burro-cipolla-fragole-brandy-grana-menta","Fare gli gnocchi in modo tradizionale usando le 2 farine. Quindi fare dei bigoli e tagliare dei gnocchetti piccoli. Intanto in padella rosolare nel burro la cipolla tritata, poi toglierla e aggiungere le fragole tagliate a pezzi. Stufare x 10 minuti poi unire le chicche (cotte in acqua bollente salata e scolate quando vengono a galla) sfumare con un goccio di brandy e condire con abbondante grana.","9/3/2007"
"3304","piatti etnici","Clam chowder","vongole- bacon- patate- latte- panna cipolla- prezzemolo- timo- olio- burro-farina","In una padella larga fare aprire le vongole, sgusciarle e filtrare l'acqua di cottura. In un tegame rosolare con l'olio un trito fine di cipolla, unire il bacon a dadini, quindi unire il latte e la panna. A parte tagliate a dadini piccoli le patate e scottatele per alcuini minuti in acqua salata. Metterle nel tegame salare, pepare, unire l'acqua delle vongole filtrata, met&#224; del prezzemolo tritato e il timo, (se la si vuole inspessire unire un roux fatto tostando a parte un cucchiaio di farina e una noce di burro, ma &#232; facoltativo). Unire anche le vongole; quando la zuppa &#232; della densit&#224; giusta servirla in fondine con una grattata di pepe fresco e un trito di prezzemolo.","3/4/2007"
"3305","pasta","Conchiglie in torta","pasta sfoglia-conchiglioni-melanzana-ricotta-basilico-grana-besciamelle-sugo pomodoro-aromi","Foderare una tortiera con la pasta sfoglia e cuocere in forno. Intanto lessare le conchiglie e raffreddare sotto l'acqua fredda. In una padella con l'olio rosolare la melanzana a dadini piccoli con qualche foglia di basilico; lasciare raffreddare poi mescolare alla ricotta, basilico e grana. Farcire i conchiglioni e posarli capovolti sulla sfoglia precotta, ricoprire con un po' di sugo di pomodoro, la besciamelle ed una bella spolverata di grana. Passare in forno caldo a 200&#176; a gratinare per una decina di minuti.","25/2/2011"
"3306","pasta","Conchiglioni ripieni ai 3 gusti","conchiglioni-1) cicoria-guanciale-1 uovo-pecorino-aglio-peperoncino-panna-2 )spezzatino vitello-funghi secchi-cipolla-brodo-pan carr&#232;-latte-burro-3) carciofi-ricotta-grana-1 uovo-sale-pepe-menta-panna-Montasio","1) Per il 1&#176; ripieno rosolare in padella con l'olio, il guanciale a dadini, l'aglio, il peperoncino e le cicorie (o scarola) lessate , strizzate e tritate. Poi passare al macinacarne la carne rosolata e in una ciotola mescolare all'uovo con le cicorie ed il pecorino; farcire i conchiglioni lessati e posare su pirofila, coprire con una fonduta di pecorino e gratinare al forno.                                                                                                     2) Per il 2&#176; ripieno rosolare lo spezzatino di vitello con olio, cipolla e funghi porcini secchi ammollati, cuocere con un po' di brodo. Poi macinare e mescolare con un uovo, il grana e le fette di pan carr&#232; ammollato nel latte e strizzato. Macinare e impastare con un uovo e del grana. Farcire i conchiglioni, posare su pirofila e cospagere di burro e grana prima di gratinare al forno.                                                  3) Per il 3&#176; ripieno rosolare in padella con olio i carciofi affettati, salare, pepare unire la menta e se occorre un goccio di brodo. Poi tritare e mescolare alla ricotta (in egual peso), il grana ed un uovo, sale e pepe. Farcire i conghiglioni, posarli su una pirofila e coprire con una fondutina di panna e Montasio. Gratinare al forno caldo per ca. 10 minuti.","21/5/2012"
"3307","pasta","Conchiglioni ripieni di scarola e palamito","scarola-capperi-olive nere-filetto palamito-olio-aglio","Pulire e sfilettare il pesce, tagliare a piccoli dadini e rosolare in padella con olio e aglio. In un'altra padella rosolare in olio e aglio la scarola gi&#224; scottata unendo i capperi e le olive snocciolate a tagliuzzate. Unire il pesce alla scarola e con questo farcire i conchiglioni , cotti al dente e raffreddati. Presentare pochi conchiglioni sul piatto e decorare con fettina di pesce crudo.","8/11/2006"
"3308","piatti etnici","Couscous di agnello e verdure     Marocco","couscous-bocconcini agnello-verdure (porro-zucchine-melanzana -etc)-cipolla-pomodori-curcuma/zafferano-cumino polvere-ginger in polvere-brodo-alloro-timo-salvia-ceci lessati-cannella","Sgranare il couscous con le mani con un po' di acqua, olio e sale poi cuocerlo al vapore e coperto x 20 minuti (anche in uno scolapasta con all'interno una pellicola). Intanto rosolare i bocconcini di agnello ,disossati, in padella con olio, cipolla, alloro, timo e salvia, unire una dadolata di pomodori e cuocere x 20 minuti, se occorre, anche un goccio di brodo. In un'altra padella rosolare con olio e cipolla le verdure a dadini, unendo poi le spezie. Quando le cotture sono ultimate versate il couscous in uno stampo a ciambella per dare una forma e poi capovolgerlo in un piatto da portata,  versare al centro l'agnello ed attorno le verdure e i ceci. Meglio sarebbe avere una couscoussiera e mettere al centro il couscous a cupola e sopra le verdure che in Marocco vanno brasate a pezzi grossi.","3/4/2007"
"3309","secondi di pesce","Couscous di pesce","500 semola grano-pesce x fumetto-aromi-palombo-200 gamberi-200 calamari-1 melanzana-1 peperone rosso-2 zucchine-200 ceci lessi-olio-peperoncino","Fare il fumetto di pesce con gli scarti del pesce, gli aromi, la carota ed il sedano. Intanto sgranare con le mani la semola in una ciotola con un filo di olio e un filo di acqua e riposare un po', poi in un cestello cuocerla al vapore sopra il fumetto tenendolo coperto. In una padella rosolare con l'olio e il peperoncino la melanzana, il peperone e le zucchine tutti tagliati a dadini. Appassire, salare e poi unire un po' di sugo di pomodoro, quindi unire il pesce tagliato a tocchetti. Cuocere con un mestolo o due di fumetto di pesce. Lessare i ceci a parte. Poi in un grande piatto disporre le verdure con il pesce, al centro il couscous, sopra i ceci e bagnare con un mestolo di fumetto. N.B. Si possono anche fare 2 cotture separate: 1 padella con le verdure ed un'altra con il pesce.","17/6/2013"
"3310","contorni","Couscous o casc&#224; tabarchina sarda","x 4 pp.:300 couscous-olio-peperoncino-200 di ciascuna verdura:cipolla-carota-zucchine-cavolo-fave-piselli-melanzane-ceci","Sgranare, lavorandolo con le mani, il couscous con un filo di olio e un po' di acqua fino a farlo gonfiare; poi cuocerlo al vapore su una pentola con 4 lt. di acqua e sigillata con pasta da pane. Intanto in padella rosolare con un filo di olio la melanzana a dadini. A parte in un grande tegame di coccio rosolare con l'olio, il peperoncino, la cipolla, la carota, le zucchine, il cavolo a julienne, poi le fave, i piselli e poca acqua per cuocere. Alla fine unire i ceci precotti e le melanzane rosolate a parte. Al centro del grande coccio posare il couscous, un filo di olio e un peperoncino sbriciolato per decorare.","1/5/2007"
"3311","pasta","Cozze con la fregola","cozze o vongole-prezzemolo-aglio-olio-vino bianco-brodo vegetale- pomodori-sale-pepe-zafferano","In un grande tegame con abbondante olio rosolare un trito di aglio e prezzemolo, unire le cozze o le vongole , sfumare con vino bianco e fare aprire. Togliere le cozze e filtrare il brodino. Versare in tegame, salare, pepare unire la passata di pomodoro (ma non troppa) ed il brodo vegetale, alla fine anche lo zafferano, poi buttare la fregula o fregola. Quando &#232; cotta unire le cozze in gran parte sgusciate, cospargere di prezzemolo tritato e servire in fondine accompagnando con pane carasau.","8/7/2008"
"3312","riso","Tiella di riso patate e cozze        cucina regionale Pugliese","cozze-riso-patate gialle-olio-pomodorini-prezzemolo-sale-pepe-aglio-cipolla bianca-pecorino","Fare aprire le cozze in padella con un filo di olio e aglio (ma sarebbe molto meglio aprirle a crudo una ad una). In una pirofila da forno (o di coccio) fare uno strato di olio, prezzemolo trito, aglio, cipolla tritata, pomodorini tagliati, uno strato di patate tagliate a rondelle e poi le cozze aperte e con met&#224; guscio, cospargere di poco riso per minestra (all'interno dei mezzi gusci delle cozze), sale, pepe, olio, prezzemolo, aglio e cipolla tritati poi altro strato di patate, pecorino e qualche pomodorino. Coprire per 3/4 con il brodo (acqua delle cozze filtrata e acqua), semmai aggiungerne altra a met&#224; cottura, cospargere con pecorino grattato e cuocere in forno a 170&#176;/180&#176; per ca. 1 h. Servire tiepida. N.B. Per farla pi&#249; ricca si pu&#242; fare anche uno strato di rondelle di zucchina.","8/4/2011"
"3313","minestre zuppe","Crema all'aglio","8 teste d'aglio monobulbo (2 x p)- 200 gr. formaggio cremoso- 2 cucchiai di succo di limone- 2 c. panna- prezzemolo- sale- pepe bianco","Sbucciare le teste d'aglio e avvolgerle nell'alluminio. Cuocere in forno a 180&#176; (160&#176; se ventilato) per 45 minuti ca. o fino a quando sono tenere. Estrarre dal forno, lasciare raffreddare per qualche minuto e togliere dall'alluminio. Mettere l'aglio in un recipiente, schiacciare, aggiungere il formaggio, il succo di limone, la panna e mescolare bene fino ad ottenere una crema omogenea (oppure frullare), salare e pepare. Servire questa crema con sopra un trito di prezzemolo.","8/3/2007"
"3314","minestre zuppe","Crema di ceci con le triglie","ceci-rosmarino-salvia-aglio-pomodori-filetti triglia-olio-finocchietto-sedano-carota-cipolla-sale-pepe","Dopo aver ammollato per una notte i ceci lessare, anche nella pentola a pressione, con rosmarino, salvia, spicchio di aglio e un paio di pomodori a pezzi. In un tegame rosolare con l'olio, un trito di sedano, con carota, cipolla e rosmarino poi unire i ceci con un po' di acqua di cottura, lasciare insaporire poi frullare il tutto. In una padella rosolare con l'olio ed uno spicchio di aglio intero i filetti di triglia puliti, salare, pepare e cospargere di finocchietto selvatico tritato. Servire in un piatto piano la crema di ceci a specchio e sopra i filetti di triglia ed un filo di olio.","23/5/2007"
"3315","minestre zuppe","Crema di ceci e gamberoni al lardo","ceci-gamberoni-lardo Colonnata o alle erbe-aromi","Mettere a bagno la sera prima i ceci  ( o cicerchie, lenticchie, fagioli, patate, porri, zucca, etc) poi lessarli con alloro e 1 patata. Tenere da parte un po' di ceci che serviranno per decorare ed il resto frullare il tutto tenendolo non troppo asciutto. Intanto  pulire i gamberoni e arrotolarli su una fettina sottile di lardo e infilarli in stecchi di legno (3 per stecco ovvero per commensale) Posarli su una teglia e grigliarli per pochi minuti in forno. Prima si servire scaldare la crema di ceci, versarla nei bicchieri da Martini e servire appoggiando sopra lo stecco con i gamberoni e decorando con qualche cece intero e carta di riso fritta.","8/3/2007"
"3316","minestre zuppe","Crema di fave con gamberi","fave secche-gamberi-carota-sedano","Lasciare in ammollo le fave x 12 h. poi lessarle con aromi e un trito di sedano e carota. Fare cuocere finch&#232; si disfano. Poi frullare tutto, servire in cocci con un filo d'olio e qualche gambero rosolato sopra e dei crostini di pane tostati.","8/3/2007"
"3317","minestre zuppe","Crema di patate","patate-latte-panna-burro-sale-pepe-noce moscata","Lessare le patate con la buccia. Pelarle, schiacciarle o frullarle con il burro, sale, pepe, noce moscata e tanto latte da rendere la crema abbastanza liquida. Si serve con gamberoni grigliati sopra e la crema a specchio sopra. Oppure si accompagna bene anche con involtini di carne o pesce.","8/3/2007"
"3318","minestre zuppe","Crema di patate con Stilton e Champagne","patate-olio-burro-panna-sale-pepe-Stilton o gorgonzola-grana- Champagne o Prosecco","A seconda degli ingredienti usati sar&#224; una ricetta inglese o italiana ! In un tegame rosolare con l'olio ed il burro le patate affettate, salare, pepare e cuocere con un filo di brodo. Quando sono cotte frullare insieme alla panna, uno o due cucchiai di grana ed lo Stilton (o il gorgonzola) gi&#224; stemperato, aggiustare di pepe ed unire un bicchiere o mezzo (a seconda della consistenza) di Champagne o di Prosecco. Servire calda in una fondina volendo o potendo, nella versione italiana, con una grattata di tartufo.","29/10/2010"
"3319","minestre zuppe","Crema di pomodoro del Valdarno","pomodori costoluti-aglio-cipolla-brodo carne-olio-pane toscano-basilico","In una casseruola rosolare la cipolla dorata (1/2 x persona) con aglio e olio, poi unire i pomodori precedentemente scottati, spellati e sfilettati. Sale e brodo di carne. Cuocere lentamente poi passare o frullare. Alla fine unire il basilico ed acconpagnare con fette di pane toscano.","8/3/2007"
"3320","minestre zuppe","Crema di zucca capesante e funghi porcini","zucca-capesante-funghi porcini-olio-amaretti-succo mostarda-cipolla-ribes-patata","Tagliare a spicchi la zucca avvolgerli in carta stagnola e cuocere in forno a 250&#176; x 15 - 30 minuti. Poi in una padella rosolare la cipolla tritata, unire la polpa di zucca cotta, 1 o 2 amaretti sbriciolati, un goccio di succo di mostarda ed un goccio di brodo. Cuocere x 15 minuti quindi passare al setaccio. In un&#236;altra padella rosolare nell'olio le capesante sgusciate per pochi minuti. In un'altra ancora saltare in olio, i funghi porcini affettati. Quindi comporre il piatto: la crema a specchio, le capesante sopra, accanto i porcini, attorno qualche chicco di ribes e sopra le patate tagliate a capelli d'angelo fritti.","8/3/2007"
